Record ID,Seed Size (mm),Seed Weight (g),Germination Rate (%),Seed Purity (%),Seed Viability (%),Seed Coat Thickness (mm),Soil pH,Organic Matter (%),Temperature (°C),Rainfall (mm),Humidity (%),Fertilizer Amount (kg/ha),Irrigation (mm),Planting Density (plants/ha),Planting Depth (cm),Crop Yield (kg/ha),Field Size (ha),Harvest Date,Fertilizer Type_Urea,Pest Incidence_Low,Pest Incidence_Moderate,Disease Incidence_Low,Disease Incidence_Moderate,Crop Variety_Variety B,Crop Variety_Variety C
1,4.87,0.3,94.52,95.99,91.56,0.27,6.1,2.9,26.0,132.5,60.4,128.0,57.0,964.0,2.7,3183.0,3.0,2024-08-16,False,True,False,False,False,True,False
2,5.02,0.24,88.79,96.12,91.39,0.28,6.4,2.5,27.9,102.0,70.3,106.0,41.0,1082.0,2.7,3065.0,3.9,2024-09-13,False,True,False,False,False,False,False
3,5.47,0.28,88.96,90.98,96.84,0.29,6.1,2.5,20.3,144.6,65.2,110.0,46.0,1056.0,3.0,3185.0,4.0,2024-08-02,False,False,False,False,True,False,False
4,5.28,0.29,96.63,95.98,99.22,0.26,6.2,2.0,23.3,113.3,65.4,120.0,47.0,984.0,3.0,3141.0,3.7,2024-09-08,False,True,False,True,False,False,True
5,4.57,0.3,95.04,91.99,90.06,0.33,6.7,2.7,27.7,94.4,67.2,77.0,57.0,1087.0,2.8,3064.0,3.0,2024-09-11,False,False,False,True,False,False,True
6,4.83,0.27,93.29,98.87,94.72,0.26,6.7,2.8,25.6,136.3,69.9,101.0,49.0,908.0,2.6,3031.0,3.5,2024-08-18,True,True,False,False,True,False,True
7,4.81,0.25,96.8,92.49,94.1,0.33,6.2,2.1,22.9,99.7,78.6,118.0,53.0,1161.0,3.3,3187.0,3.8,2024-08-22,False,True,False,False,False,True,False
8,5.04,0.28,96.65,93.18,91.1,0.27,6.4,2.8,28.6,90.4,70.2,95.0,44.0,936.0,2.8,3943.0,3.0,2024-08-07,True,True,False,True,False,True,False
9,5.02,0.27,89.73,99.72,99.62,0.28,6.5,2.3,22.8,92.2,72.2,100.0,41.0,984.0,3.4,3240.0,2.7,2024-09-24,False,False,True,True,False,True,False
10,4.99,0.3,88.15,96.72,97.62,0.27,6.7,2.4,26.3,128.0,70.7,75.0,57.0,996.0,2.7,3041.0,3.4,2024-09-16,True,False,False,False,True,False,False
